Carpark Number,Carpark Type,Type of Parking System,Address
JKS,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 1 JALAN KUKOH CAR PARK
JMB1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 117A JALAN MEMBINA
JMB2,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 18A JALAN MEMBINA
JMB3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 26 JALAN MEMBINA
JMS,SURFACE CAR PARK,COUPON PARKING,BLK 4/5/6 JALAN MINYAK CAR PARK
JM1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 517B JURONG WEST STREET 52
JM10,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 648 JURONG WEST STREET 61
JM11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 686 JURONG WEST CENTRAL 1
JM12,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 624A JURONG WEST STREET 61
JM13,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 601A JURONG WEST STREET 62
JM14,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 635A JURONG WEST STREET 65
JM15,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 617A JURONG WEST STREET 65
JM16,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 659 JURONG WEST STREET 65
JM17,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 660 JURONG WEST STREET 64
JM18,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 629A JURONG WEST STREET 65
JM19,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 273 JURONG WEST AVENUE 3
JM2,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 682 JURONG WEST CENTRAL 1
JM20,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 657 JURONG WEST STREET 65
JM21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 651 JURONG WEST STREET 61
JM22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 674 JURONG WEST STREET 65
